"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"scared_10_nervouswithppldontknow","143","1.3","0.74","0","1","2","2"
"scared_11_stomachachesschool","143","0.76","0.8","0","0","1","2"
"scared_12_frightened","143","0.61","0.78","0","0","1","2"
"scared_13_worrysleepalone","143","0.26","0.53","0","0","0","2"
"scared_14_worrybeinggood","143","1.2","0.75","0","1","2","2"
"scared_15_thingsunrealscared","143","0.55","0.73","0","0","1","2"
"scared_16_nightmaresparents","143","0.54","0.7","0","0","1","2"
"scared_17_worrygoingschool","143","0.95","0.75","0","0","2","2"
"scared_18_heartbeatsfastscared","143","1.4","0.69","0","1","2","2"
"scared_19_getshaky","143","1.3","0.78","0","1","2","2"
"scared_20_nightmaresbadtome","143","0.87","0.83","0","0","2","2"
"scared_21_worrythingsworkme","142","1.4","0.68","0","1","2","2"
"scared_22_sweatwhenscared","142","0.75","0.74","0","0","1","2"
"scared_23_worrier","142","1.4","0.75","0","1","2","2"
"scared_24_frightenednoreason","142","0.72","0.75","0","0","1","2"
"scared_25_afraidalonehouse","142","0.32","0.56","0","0","1","2"
"scared_26_hardtalktoppl","142","1.2","0.78","0","1","2","2"
"scared_27_chokingwhenscared","142","0.39","0.64","0","0","1","2"
"scared_28_peoplesayiworry","142","0.93","0.83","0","0","2","2"
"scared_29_dontlikeawayfamily","142","0.46","0.67","0","0","1","2"
"scared_30_afraidpanicattacks","142","0.97","0.76","0","0","2","2"
"scared_31_worryhappenstoparents","142","0.8","0.73","0","0","1","2"
"scared_32_shy","142","1.3","0.76","0","1","2","2"
"scared_33_worryfuture","142","1.5","0.66","0","1","2","2"
"scared_34_throwingupscared","142","0.65","0.77","0","0","1","2"
"scared_35_worryhowdothings","142","1.5","0.65","0","1","2","2"
"scared_36_scaredgotoschool","142","0.64","0.76","0","0","1","2"
"scared_37_worrypast","141","1.3","0.7","0","1","2","2"
"scared_38_dizzywhenscared","142","0.64","0.76","0","0","1","2"
"scared_39_nervouswithothers","142","1.2","0.8","0","1","2","2"
"scared_40_nervouspartiesdances","142","1.2","0.73","0","1","2","2"
"scared_41_shy","142","0.98","0.79","0","0","2","2"
"trash_01_automatically","126","3.8","0.97","1","4","4","5"
"trash_02_same_places","126","3.3","1.1","1","3","4","5"
"trash_03_hard_not_to","126","3.7","1.1","1","3","4","5"
"trash_04_sad_anx_annoyed","126","4.2","1","1","4","5","5"
"trash_05_unintentionally","126","4.2","0.91","1","4","5","5"
"trash_06_when_alone","126","4","1","1","3.8","5","5"
"trash_07_effort_to_stop","126","4","1","1","3.5","5","5"
"trash_08_same_times_day","126","2.7","1.1","1","2","4","5"
"trash_09_start_before_realize","126","3.8","1.1","1","3","5","5"
"trash_10_response_same_sit","126","3.6","1.1","1","3","4","5"
"pswq_01_worries_bother_me","124","1.9","0.84","0","1","3","3"
"pswq_02_dont_worry_things","124","2.3","0.69","0","2","3","3"
"pswq_03_things_worry_me","124","1.9","0.96","0","1","3","3"
"pswq_04_cant_help_worry","124","2.1","0.94","0","2","3","3"
"pswq_05_worry_under_pressure","124","2.2","0.8","0","2","3","3"
"pswq_06_always_worrying","124","1.6","1","0","1","2.2","3"
"pswq_07_easy_stop_worrying","124","2.3","0.74","0","2","3","3"
"pswq_08_worry","124","1.5","0.95","0","1","2","3"
"pswq_09_never_worry","124","2.7","0.61","1","3","3","3"
"pswq_10_worry_all_my_life","124","1.6","1","0","1","2","3"
"pswq_11_notice_i_worry","124","1.9","0.9","0","1","3","3"
"pswq_12_start_worry_cant_stop","124","1.5","0.94","0","1","2","3"
"pswq_13_worry_all_time","124","1.5","0.99","0","1","2","3"
"pswq_14_worry_till_thngs_done","124","1.7","0.88","0","1","2","3"
"sari_01_angry","117","3.2","0.88","1","3","4","5"
"sari_02_angry","117","3","0.99","1","2","4","5"
"sari_03_angry","117","3.2","1","1","3","4","5"
"sari_04_angry","117","3.3","1.1","1","3","4","5"
"sari_05_angry","117","3.2","1.1","1","2","4","5"
"sari_06_angry","117","2.9","1.1","1","2","4","5"
"sari_07_angry","117","3.3","1.1","1","3","4","5"
"sari_08_angry","117","2.9","1.1","1","2","4","5"
"sari_09_angry","117","3.4","1","1","3","4","5"
"sari_10_angry","117","3.2","1.1","1","2","4","5"
"sari_11_angry","117","3.2","1.2","1","2","4","5"
"sari_01_sad","117","3.2","0.77","1","3","4","4"
"sari_02_sad","117","3.3","0.76","1","3","4","4"
"sari_03_sad","117","3.4","0.78","1","3","4","4"
"sari_04_sad","117","3.4","0.75","1","3","4","4"
"sari_05_sad","117","3.4","0.75","1","3","4","4"
"sari_06_sad","117","3","0.91","1","2","4","4"
"sari_07_sad","117","3.4","0.76","1","3","4","5"
"sari_08_sad","117","3.2","0.84","1","3","4","4"
"sari_09_sad","117","3.5","0.64","1","3","4","4"
"sari_10_sad","117","3.4","0.75","1","3","4","4"
"sari_11_sad","117","3.4","0.78","1","3","4","4"
"rum_vas_01_frequency","117","58","22","0","44","72","100"
"rum_vas_02_control","117","63","23","0","48","79","100"
"rum_vas_03_duration","117","59","24","0","50","77","100"
"rum_vas_04_distress","117","63","26","0","50","80","100"
"meaq_01_free_pain","114","4.8","1.2","1","4","6","6"
"meaq_02_not_feel_bad","114","4.5","1.4","1","4","6","6"
"meaq_03_pain_suffering","114","3.9","1.3","1","3","5","6"
"meaq_04_never_feel_pain","114","2.4","1.4","1","1","4","6"
"meaq_05_rid_neg_emotions","114","4.4","1.5","1","4","6","6"
"meaq_06_anything_feel_btr","114","4.3","1.4","1","3","5","6"
"meaq_07_remove_pain_mem","114","3.8","1.8","1","2","5","6"
"meaq_08_no_upset_feelings","114","4.1","1.2","1","3.2","5","6"
"meaq_09_no_unple_mems","114","4.3","1.3","1","4","5","6"
"meaq_10_not_think_upset","114","4.3","1.2","1","3","5","6"
"meaq_11_avoid_neg_thoughts","114","4.3","1.3","1","4","5","6"
"meaq_12_think_smthng_else","114","3.9","1.4","1","3","5","6"
"meaq_13_hard_know_feeling","114","4.2","1.4","1","3","5","6"
"meaq_14_disconnect_emo","114","4.1","1.4","1","3","5","6"
"meaq_15_diff_how_feeling","114","4.7","1.2","1","4","6","6"
"meaq_16_turn_off_emotions","114","3.4","1.7","1","2","5","6"
"meaq_17_numb_feelings","114","3.6","1.7","1","2","5","6"
"meaq_18_shut_off_feelings","114","3.2","1.7","1","2","4","6"
"meaqa_quiet","114","2.7","0.94","1","2","4","4"
"meaqa_smother_feelings","114","2.6","0.96","1","2","3","4"
"meaqa_hide_annoyance","114","2.5","1","1","2","3","4"
"meaqa_bottle_anger","114","3.1","1","1","3","4","4"
"meaqa_say_what_feel","114","1.8","0.79","1","1","2","4"
"meaqa_refuse_argue","114","2.3","0.92","1","2","3","4"
"meaqa_avoid_scene","114","3","1","1","2","4","4"
"meaqs_bottle_it_up","114","3.3","0.84","1","3","4","4"
